mode,k,acc,bal,macro,min,recall_db_bench_press,recall_db_biceps_curl,recall_db_rdl,recall_db_shoulder_press,recall_db_squat,recall_db_triceps_curl,recall_db_weighted_crunch,recall_one_arm_db_row
base_post_vote,9,0.8339287438447427,0.8356880826764577,0.8348899865395097,0.6600646725949879,0.7275106313379129,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.6600646725949879,0.7483388704318937
post_pred,28,0.8169836825335521,0.8220316629779223,0.8215458990479221,0.6571802420673863,0.6571802420673863,1.0,0.7886717456111295,0.6634815122559202,0.9688944934846574,1.0,0.8144704931285368,0.6835548172757475
post_pred,29,0.8169836825335521,0.8220316629779223,0.8215458990479221,0.6571802420673863,0.6571802420673863,1.0,0.7886717456111295,0.6634815122559202,0.9688944934846574,1.0,0.8144704931285368,0.6835548172757475
post_pred,27,0.8169836825335521,0.8220316629779223,0.8211110917383435,0.6571802420673863,0.6571802420673863,1.0,0.7886717456111295,0.6634815122559202,0.9688944934846574,1.0,0.8144704931285368,0.6835548172757475
base_pred,13,0.8241768851984165,0.8294893532158492,0.8303918643867335,0.6565260058881256,0.6565260058881256,1.0,0.8039085789996687,0.7095970087245533,0.9655317360235393,1.0,0.7599029911075182,0.7404485049833887
post_pred,6,0.8410736699816549,0.8424586916166082,0.842868968743415,0.6518487744079767,0.7471377167157344,1.0,0.8744617422987744,0.6518487744079767,0.9655317360235393,1.0,0.7324171382376717,0.7682724252491694
post_pred,5,0.8216182292169547,0.8259896987137834,0.8243298792686766,0.6518487744079767,0.7163886162904809,1.0,0.7711162636634648,0.6518487744079767,0.9655317360235393,1.0,0.6924009700889249,0.8106312292358804
base_post_vote,7,0.8205561456020083,0.8247590279183714,0.8241446248729196,0.6499836440955185,0.6499836440955185,1.0,0.8433256045048029,0.6875778977980889,0.9655317360235393,1.0,0.7033144704931286,0.7483388704318937
base_pred,10,0.8192526793473014,0.8209683256187519,0.8218828944093968,0.6463217461600647,0.6974157670919202,1.0,0.8744617422987744,0.7095970087245533,0.9655317360235393,1.0,0.6463217461600647,0.6744186046511628
base_pred,11,0.8151008979434199,0.8174075439029519,0.8174872157071214,0.6463217461600647,0.6974157670919202,1.0,0.8459754885723749,0.7095970087245533,0.9655317360235393,1.0,0.6463217461600647,0.6744186046511628
base_pred,12,0.8160664285024621,0.8182975726269304,0.8178825274446846,0.6382890365448505,0.6974157670919202,1.0,0.8459754885723749,0.7095970087245533,0.9655317360235393,1.0,0.6895715440582053,0.6382890365448505
base_post_vote,25,0.8183837018441633,0.8241751815364581,0.824251732503614,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,1.0,1.0,0.8536782538399353,0.6835548172757475
base_post_vote,26,0.8183837018441633,0.8241751815364581,0.824251732503614,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,1.0,1.0,0.8536782538399353,0.6835548172757475
base_post_vote,27,0.8183837018441633,0.8241751815364581,0.824251732503614,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,1.0,1.0,0.8536782538399353,0.6835548172757475
base_post_vote,28,0.8148112387757073,0.8202869932220402,0.8204603777652977,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,0.9688944934846574,1.0,0.8536782538399353,0.6835548172757475
base_post_vote,29,0.8148112387757073,0.8202869932220402,0.8204603777652977,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,0.9688944934846574,1.0,0.8536782538399353,0.6835548172757475
base_pred,24,0.8136043255769045,0.8191731605178647,0.8199309541584846,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,1.0,1.0,0.8136620856911884,0.6835548172757475
base_pred,25,0.8136043255769045,0.8191731605178647,0.8199309541584846,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,1.0,1.0,0.8136620856911884,0.6835548172757475
base_pred,26,0.8136043255769045,0.8191731605178647,0.8199309541584846,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,1.0,1.0,0.8136620856911884,0.6835548172757475
base_pred,27,0.8136043255769045,0.8191731605178647,0.8199309541584846,0.6335687577897798,0.662414131501472,1.0,0.7601854918847301,0.6335687577897798,1.0,1.0,0.8136620856911884,0.6835548172757475
