file,subject,exercise,set_id,num_reps,set_length_samples,true_period_samples,signal,method,estimated_period_samples,signed_error_samples,abs_error_samples,relative_abs_error,within_10_percent,within_20_percent
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,pca_motion,fft,373.6667,9.6667,9.6667,0.0266,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,abs_pca_motion,autocorr,372.0,8.0,8.0,0.022,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,abs_pca_motion,fft,186.8333,-177.1667,177.1667,0.4867,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,acc_magnitude,autocorr,376.0,12.0,12.0,0.033,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,acc_magnitude,fft,186.8333,-177.1667,177.1667,0.4867,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,gyro_magnitude,autocorr,373.0,9.0,9.0,0.0247,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,gyro_magnitude,fft,186.8333,-177.1667,177.1667,0.4867,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,pca_velocity,autocorr,384.0,20.0,20.0,0.0549,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,pca_velocity,fft,373.6667,9.6667,9.6667,0.0266,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,motion_energy,autocorr,375.0,11.0,11.0,0.0302,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,motion_energy,fft,373.6667,9.6667,9.6667,0.0266,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,transition_energy,autocorr,371.0,7.0,7.0,0.0192,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_biceps_curl,3,12,4484,364.0,transition_energy,fft,373.6667,9.6667,9.6667,0.0266,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,pca_motion,autocorr,477.0,1.0,1.0,0.0021,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,pca_motion,fft,231.75,-244.25,244.25,0.5131,False,False
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,abs_pca_motion,autocorr,485.0,9.0,9.0,0.0189,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,abs_pca_motion,fft,463.5,-12.5,12.5,0.0263,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,acc_magnitude,autocorr,455.0,-21.0,21.0,0.0441,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,acc_magnitude,fft,463.5,-12.5,12.5,0.0263,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,gyro_magnitude,autocorr,482.0,6.0,6.0,0.0126,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,gyro_magnitude,fft,463.5,-12.5,12.5,0.0263,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,pca_velocity,autocorr,463.0,-13.0,13.0,0.0273,True,True
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_rdl,0,12,5562,476.0,pca_velocity,fft,463.5,-12.5,12.5,0.0263,True,True
