subject,feature,objective,boundaries,mean_abs_error,median_abs_error,p80_abs_error,p90_abs_error,within_25_samples,within_50_samples,within_100_samples
kevin0509workout,pca_velocity_min_s21_e21,min,274,51.4161,47.0,88.0,100.7,0.3248,0.5182,0.8978
kevin0509workout,pca_velocity_min_s21_e51,min,274,51.8504,45.0,88.0,102.0,0.2993,0.5511,0.8832
kevin0509workout,pca_velocity_min_s21_e81,min,274,57.2336,53.5,95.0,109.0,0.2628,0.4745,0.8431
kevin0509workout,pca_velocity_min_s51_e21,min,274,51.4343,48.0,81.0,98.0,0.2518,0.5255,0.9088
kevin0509workout,pca_velocity_min_s51_e51,min,274,57.062,52.5,92.0,109.4,0.2153,0.4745,0.8686
kevin0509workout,pca_velocity_min_s51_e81,min,274,61.7263,61.0,95.0,111.7,0.1898,0.4088,0.8285
kevin0509workout,pca_velocity_min_s9_e21,min,274,46.3796,39.0,79.0,92.7,0.3139,0.5839,0.9307
kevin0509workout,pca_velocity_min_s9_e51,min,274,50.7774,44.5,87.4,99.7,0.3394,0.5438,0.9015
kevin0509workout,pca_velocity_min_s9_e81,min,274,54.8723,52.0,94.4,107.7,0.2993,0.4854,0.8686
kevin0509workout,transition_energy_max_s21_e21,max,274,55.8796,55.0,88.4,102.0,0.2409,0.4635,0.8905
kevin0509workout,transition_energy_max_s21_e51,max,274,62.0,61.5,94.0,108.7,0.1825,0.4124,0.8431
kevin0509workout,transition_energy_max_s21_e81,max,274,64.2445,69.0,94.4,108.7,0.1971,0.3978,0.8394
kevin0509workout,transition_energy_max_s51_e21,max,274,59.3029,59.0,89.0,102.0,0.1861,0.4234,0.8905
kevin0509workout,transition_energy_max_s51_e51,max,274,62.4489,65.5,92.0,106.4,0.1642,0.3467,0.8905
kevin0509workout,transition_energy_max_s51_e81,max,274,63.0766,66.5,94.0,108.7,0.1898,0.3832,0.8577
kevin0509workout,transition_energy_max_s9_e21,max,274,58.281,58.5,92.0,104.1,0.2153,0.4307,0.8869
kevin0509workout,transition_energy_max_s9_e51,max,274,64.7993,67.5,96.4,110.0,0.1788,0.3905,0.8248
kevin0509workout,transition_energy_max_s9_e81,max,274,68.2044,77.0,99.0,111.7,0.1606,0.3358,0.8102
thomas0506,acc_jerk_max_s21_e21,max,298,63.8456,69.5,81.0,86.0,0.047,0.2517,1.0
thomas0506,acc_jerk_max_s21_e51,max,298,67.2013,75.0,82.0,89.0,0.0537,0.2248,0.9866
thomas0506,acc_jerk_max_s21_e81,max,298,68.7483,75.5,83.0,89.0,0.0403,0.1711,0.9933
thomas0506,acc_jerk_max_s51_e21,max,298,61.4094,70.0,82.0,86.3,0.1409,0.2819,0.9899
thomas0506,acc_jerk_max_s51_e51,max,298,66.1107,75.0,84.0,93.0,0.1141,0.2517,0.9799
thomas0506,acc_jerk_max_s51_e81,max,298,67.547,76.0,84.0,90.0,0.0671,0.2181,0.9832
thomas0506,acc_jerk_max_s9_e21,max,298,55.9631,58.0,78.0,81.0,0.1074,0.3859,1.0
thomas0506,acc_jerk_max_s9_e51,max,298,60.094,62.0,82.0,84.0,0.0671,0.3322,1.0
thomas0506,acc_jerk_max_s9_e81,max,298,63.9161,70.0,82.0,84.0,0.0671,0.2617,0.9966
thomas0506,acc_magnitude_min_s21,min,298,50.7081,54.5,79.0,87.0,0.2383,0.4497,0.9966
thomas0506,acc_magnitude_min_s51,min,298,48.6846,47.0,79.6,91.0,0.2886,0.5235,0.9866
thomas0506,acc_magnitude_min_s9,min,298,49.604,54.0,77.0,84.0,0.255,0.4631,0.9933
thomas0506,gyro_jerk_max_s21_e21,max,298,43.8356,38.0,71.0,82.0,0.2919,0.604,1.0
thomas0506,gyro_jerk_max_s21_e51,max,298,49.849,48.0,74.0,82.0,0.1846,0.5134,0.9966
thomas0506,gyro_jerk_max_s21_e81,max,298,51.0067,54.0,75.0,82.0,0.1879,0.4295,0.9933
thomas0506,gyro_jerk_max_s51_e21,max,298,46.943,44.5,77.0,84.0,0.2919,0.5537,0.9866
thomas0506,gyro_jerk_max_s51_e51,max,298,48.0705,47.0,79.0,87.3,0.2785,0.5403,0.9933
thomas0506,gyro_jerk_max_s51_e81,max,298,49.9933,51.0,75.0,81.0,0.2013,0.4933,1.0
thomas0506,gyro_jerk_max_s9_e21,max,298,51.0067,53.0,74.6,81.0,0.1711,0.4832,0.9966
thomas0506,gyro_jerk_max_s9_e51,max,298,53.2919,53.0,77.6,83.0,0.1443,0.4497,0.9966
thomas0506,gyro_jerk_max_s9_e81,max,298,55.2215,60.0,80.0,84.0,0.1544,0.4161,0.9966
thomas0506,gyro_magnitude_min_s21,min,298,32.0973,17.0,69.0,90.3,0.6242,0.7416,0.9732
thomas0506,gyro_magnitude_min_s51,min,298,34.0101,16.0,79.0,92.6,0.6141,0.7181,0.9597
thomas0506,gyro_magnitude_min_s9,min,298,28.1107,16.0,53.0,79.0,0.6611,0.7886,0.9832
thomas0506,motion_energy_min_s21_e21,min,298,35.9094,22.0,73.2,91.3,0.5403,0.6779,0.9732
thomas0506,motion_energy_min_s21_e51,min,298,37.3691,22.5,77.6,92.0,0.5403,0.6644,0.9732
thomas0506,motion_energy_min_s21_e81,min,298,36.6879,22.0,73.0,91.0,0.5503,0.6678,0.9799
thomas0506,motion_energy_min_s51_e21,min,298,38.2819,27.0,78.6,92.0,0.4765,0.6913,0.9732
thomas0506,motion_energy_min_s51_e51,min,298,37.9161,24.5,79.0,92.0,0.5101,0.7114,0.9765
thomas0506,motion_energy_min_s51_e81,min,298,37.6611,25.0,79.0,91.3,0.5067,0.698,0.9698
thomas0506,motion_energy_min_s9_e21,min,298,37.6007,24.0,76.0,90.0,0.5268,0.6342,0.9799
thomas0506,motion_energy_min_s9_e51,min,298,37.6376,22.0,76.6,92.0,0.5302,0.651,0.9698
thomas0506,motion_energy_min_s9_e81,min,298,39.057,26.0,74.6,90.0,0.4866,0.6275,0.9664
thomas0506,pca_extreme_max_s21,max,298,49.8859,50.5,71.0,81.3,0.1644,0.5,0.9966
thomas0506,pca_extreme_max_s51,max,298,50.4262,49.0,76.0,83.3,0.1846,0.5268,0.9933
thomas0506,pca_extreme_max_s9,max,298,49.5101,49.0,70.0,80.0,0.151,0.5268,1.0
thomas0506,pca_velocity_min_s21_e21,min,298,35.3423,29.0,59.0,80.0,0.4631,0.7114,0.9899
thomas0506,pca_velocity_min_s21_e51,min,298,39.2852,34.0,71.0,82.6,0.4128,0.6711,0.9832
thomas0506,pca_velocity_min_s21_e81,min,298,41.3691,33.5,72.0,81.0,0.3993,0.6409,0.9866
thomas0506,pca_velocity_min_s51_e21,min,298,38.1913,39.0,60.0,71.0,0.3289,0.6946,1.0
thomas0506,pca_velocity_min_s51_e51,min,298,41.4128,37.0,69.0,80.0,0.3289,0.6309,0.9866
thomas0506,pca_velocity_min_s51_e81,min,298,43.9094,40.5,71.0,80.3,0.2819,0.5839,0.9899
thomas0506,pca_velocity_min_s9_e21,min,298,33.6913,23.5,65.2,83.3,0.5503,0.7349,0.9866
thomas0506,pca_velocity_min_s9_e51,min,298,38.4732,25.0,76.6,92.0,0.5101,0.6678,0.9664
thomas0506,pca_velocity_min_s9_e81,min,298,42.4128,31.0,79.0,92.0,0.406,0.6443,0.9698
thomas0506,transition_energy_max_s21_e21,max,298,58.2752,62.0,78.6,82.0,0.0839,0.3389,0.9966
