dataset,model_stage,fold,val_subject,n_features,added_feature_coef,n,mae,rmse,r2,spearman,rounded_exact_acc,rounded_pm1_acc
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,1,haoyu0512workout,9,,24,0.9505661516406202,1.2327811843963818,-0.5303770671234367,0.5863062974460521,0.375,0.7916666666666666
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,2,yanz0510workout,9,,24,0.9466707543542004,1.09151956857801,0.4037749592466501,0.7399549571385146,0.2916666666666667,0.8333333333333334
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,3,yoru0511workout,9,,24,1.425596376773773,1.779815277609285,-0.4810224312572857,0.6638546134853662,0.25,0.5
vo2_lag45_96_sets,M2_exercise_plus_cumulative_tut,4,yushuan0513workout,9,,24,0.9089016025906017,1.3431768963377229,0.15030619401738976,0.497098066168397,0.5,0.7916666666666666
vo2_lag45_96_sets,M3_progression_control,1,haoyu0512workout,10,,24,0.9470320955856976,1.2273761924556383,-0.5169869493999553,0.5863062974460521,0.3333333333333333,0.7916666666666666
vo2_lag45_96_sets,M3_progression_control,2,yanz0510workout,10,,24,1.148265572656631,1.3564296007830212,0.07925010699991086,0.5733984691871682,0.125,0.75
vo2_lag45_96_sets,M3_progression_control,3,yoru0511workout,10,,24,1.4683121172432785,1.8126276388839007,-0.5361335384525934,0.661190314033251,0.25,0.5
vo2_lag45_96_sets,M3_progression_control,4,yushuan0513workout,10,,24,0.9113444399991936,1.3360141338466374,0.15934435885308496,0.497098066168397,0.5,0.7916666666666666
vo2_lag45_96_sets,M4_add_one__kg,1,haoyu0512workout,11,-0.28940440218876096,24,1.0431323937008812,1.3115476345593422,-0.7321862690309202,0.5651537113217264,0.3333333333333333,0.7083333333333334
vo2_lag45_96_sets,M4_add_one__kg,2,yanz0510workout,11,-0.22474343526715038,24,1.208962857938651,1.413427122941759,0.00024404035131797563,0.5822814818779067,0.08333333333333333,0.7083333333333334
vo2_lag45_96_sets,M4_add_one__kg,3,yoru0511workout,11,0.1077176760720039,24,1.5041979749809375,1.8466748251476146,-0.5943829188834162,0.6536414655855913,0.2916666666666667,0.5
vo2_lag45_96_sets,M4_add_one__kg,4,yushuan0513workout,11,0.22815783389740252,24,1.0195201913822804,1.4828578990163725,-0.035607283758744224,0.5205795256219844,0.3333333333333333,0.8333333333333334
