plot,file,subject,exercise,set_id,set_start,set_end,iou_threshold,true_reps,predicted_reps,matched_reps,false_positives,false_negatives,precision,recall,f1,mean_matched_iou
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/059_kevin0509workout_db_rdl_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,1,96504,100510,0.9,12,12,3,9,9,0.25,0.25,0.25,0.9457
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/060_kevin0509workout_db_rdl_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_rdl,2,108375,112103,0.9,12,11,2,9,10,0.1818,0.1667,0.1739,0.9416
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/061_kevin0509workout_db_shoulder_press_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,0,180405,181174,0.9,3,7,0,7,3,0.0,0.0,0.0,0.0
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/062_kevin0509workout_db_shoulder_press_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,1,188153,190943,0.9,12,12,9,3,3,0.75,0.75,0.75,0.9427
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/063_kevin0509workout_db_shoulder_press_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,2,198200,201408,0.9,12,12,3,9,9,0.25,0.25,0.25,0.9392
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/064_kevin0509workout_db_shoulder_press_set_3.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_shoulder_press,3,211264,214474,0.9,12,12,5,7,7,0.4167,0.4167,0.4167,0.9577
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/065_kevin0509workout_db_squat_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,0,319879,324164,0.9,12,12,6,6,6,0.5,0.5,0.5,0.9338
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/066_kevin0509workout_db_squat_set_1.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,1,330751,334667,0.9,12,12,2,10,10,0.1667,0.1667,0.1667,0.962
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/067_kevin0509workout_db_squat_set_2.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_squat,2,344338,347939,0.9,12,12,8,4,4,0.6667,0.6667,0.6667,0.9441
artifacts_rep_classification/011_waveform_rep_accuracy_multifeature_boundary_score/sets_all/068_kevin0509workout_db_triceps_curl_set_0.png,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_triceps_curl,0,270488,275619,0.9,12,13,4,9,8,0.3077,0.3333,0.32,0.9673
