plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,26,5,0.3442
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,4,0,0.2875
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,18,10,0.4439
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,24,10,0.3675
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,32,10,0.357
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,26,8,0.3135
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,10,5,0.4137
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,13,5,0.3903
artifacts_rep_classification/waveform_method_comparison/sets_all/016_haoyu0512workout_db_squat_set_2.png,haoyu0512workout,db_squat,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,452354,456751,12,37,3,0.2713
artifacts_rep_classification/waveform_method_comparison/sets_all/016_haoyu0512workout_db_squat_set_2.png,haoyu0512workout,db_squat,2,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,452354,456751,12,29,8,0.3704
artifacts_rep_classification/waveform_method_comparison/sets_all/016_haoyu0512workout_db_squat_set_2.png,haoyu0512workout,db_squat,2,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,452354,456751,12,32,3,0.33
artifacts_rep_classification/waveform_method_comparison/sets_all/016_haoyu0512workout_db_squat_set_2.png,haoyu0512workout,db_squat,2,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,452354,456751,12,13,2,0.4208
artifacts_rep_classification/waveform_method_comparison/sets_all/016_haoyu0512workout_db_squat_set_2.png,haoyu0512workout,db_squat,2,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,452354,456751,12,8,4,0.5131
artifacts_rep_classification/waveform_method_comparison/sets_all/017_haoyu0512workout_db_triceps_curl_set_0.png,haoyu0512workout,db_triceps_curl,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,373880,380187,12,46,0,0.2395
artifacts_rep_classification/waveform_method_comparison/sets_all/017_haoyu0512workout_db_triceps_curl_set_0.png,haoyu0512workout,db_triceps_curl,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,373880,380187,12,12,1,0.2872
