plot,subject,exercise,set_id,method,file,window_start,window_end,true_reps,predicted_reps,predicted_with_best_iou_ge_0.50,mean_best_true_iou,set_key,matched_rate_at_iou_0.50,prediction_ratio,over_segmentation_ratio
artifacts_rep_classification/waveform_method_comparison/sets_all/013_haoyu0512workout_db_shoulder_press_set_2.png,haoyu0512workout,db_shoulder_press,2,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,278980,285716,12,15,2,0.3825,haoyu0512workout | db_shoulder_press | set 2,0.16666666666666666,1.25,0.25
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,30,5,0.2988,haoyu0512workout | db_squat | set 0,0.4166666666666667,2.5,1.5
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,29,11,0.3779,haoyu0512workout | db_squat | set 0,0.9166666666666666,2.4166666666666665,1.4166666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,26,5,0.3442,haoyu0512workout | db_squat | set 0,0.4166666666666667,2.1666666666666665,1.1666666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,4,0,0.2875,haoyu0512workout | db_squat | set 0,0.0,0.3333333333333333,-0.6666666666666666
artifacts_rep_classification/waveform_method_comparison/sets_all/014_haoyu0512workout_db_squat_set_0.png,haoyu0512workout,db_squat,0,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,421782,427557,12,18,10,0.4439,haoyu0512workout | db_squat | set 0,0.8333333333333334,1.5,0.5
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,24,10,0.3675,haoyu0512workout | db_squat | set 1,0.8333333333333334,2.0,1.0
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,short-time-energy,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,32,10,0.357,haoyu0512workout | db_squat | set 1,0.8333333333333334,2.6666666666666665,1.6666666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,pca-extrema,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,26,8,0.3135,haoyu0512workout | db_squat | set 1,0.6666666666666666,2.1666666666666665,1.1666666666666667
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,pca-autocorr,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,10,5,0.4137,haoyu0512workout | db_squat | set 1,0.4166666666666667,0.8333333333333334,-0.16666666666666666
artifacts_rep_classification/waveform_method_comparison/sets_all/015_haoyu0512workout_db_squat_set_1.png,haoyu0512workout,db_squat,1,pca-extrema-fft,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,437595,442544,12,13,5,0.3903,haoyu0512workout | db_squat | set 1,0.4166666666666667,1.0833333333333333,0.08333333333333333
artifacts_rep_classification/waveform_method_comparison/sets_all/016_haoyu0512workout_db_squat_set_2.png,haoyu0512workout,db_squat,2,dominant-axis,datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,452354,456751,12,37,3,0.2713,haoyu0512workout | db_squat | set 2,0.25,3.0833333333333335,2.0833333333333335
