file,subject,exercise,set_id,boundary,local_boundary,feature,objective,candidate,signed_error_samples,abs_error_samples,search_radius,candidate_score
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22074,2110,pca_velocity_min,min,22147,73,73,153,-1.1531
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22074,2110,acc_magnitude_min,min,22185,111,111,153,-2.1571
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22074,2110,gyro_magnitude_min,min,22122,48,48,153,-1.5099
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22074,2110,acc_jerk_max,max,22042,-32,32,153,6.3432
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22074,2110,gyro_jerk_max,max,22036,-38,38,153,3.4373
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22074,2110,motion_energy_min,min,22139,65,65,153,-1.6182
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22074,2110,transition_energy_max,max,22055,-19,19,153,5.3282
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22518,2554,pca_extreme_max,max,22484,-34,34,153,4.9001
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22518,2554,pca_velocity_min,min,22607,89,89,153,-1.2987
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22518,2554,acc_magnitude_min,min,22609,91,91,153,-1.2886
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22518,2554,gyro_magnitude_min,min,22446,-72,72,153,-1.2346
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22518,2554,acc_jerk_max,max,22490,-28,28,153,3.0154
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22518,2554,gyro_jerk_max,max,22462,-56,56,153,2.7499
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22518,2554,motion_energy_min,min,22609,91,91,153,-1.1818
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22518,2554,transition_energy_max,max,22472,-46,46,153,2.9599
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22958,2994,pca_extreme_max,max,22923,-35,35,153,3.207
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22958,2994,pca_velocity_min,min,22805,-153,153,153,-0.867
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22958,2994,acc_magnitude_min,min,22806,-152,152,153,-2.1376
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22958,2994,gyro_magnitude_min,min,22992,34,34,153,-1.2892
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22958,2994,acc_jerk_max,max,22930,-28,28,153,2.3799
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22958,2994,gyro_jerk_max,max,22957,-1,1,153,1.0185
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22958,2994,motion_energy_min,min,22806,-152,152,153,-1.5293
datasets/workout/haoyu0512workout/haoyu0512workout_whole_session_20260512_165723.csv,haoyu0512workout,db_bench_press,1,22958,2994,transition_energy_max,max,22934,-24,24,153,1.8972
