fold,file,subject,exercise,set_id,period,expected_count,count_options,candidate_count,predicted_reps,boundaries
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_shoulder_press,1,281.0,11,"9,10,11,12,13",416,12,"293266,293503,293780,294021,294308,294474,294763,295064,295321,295578,295834,296091,296348"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_shoulder_press,2,281.0,11,"9,10,11,12,13",397,11,"302729,303004,303267,303521,303805,304028,304314,304604,304931,305198,305479,305689"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_squat,0,296.0,11,"9,10,11,12,13",385,9,"411680,412004,412408,412752,413129,413452,413854,414228,414582,414941"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_squat,1,326.0,11,"9,10,11,12,13",400,11,"425030,425292,425661,425958,426207,426536,426824,427167,427534,427828,428178,428503"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_squat,2,314.0,11,"9,10,11,12,13",394,10,"438220,438564,438909,439256,439579,440003,440286,440637,440988,441328,441663"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_triceps_curl,0,911.0,4,"2,3,4,5,6",114,4,"376635,377633,378631,379532,380626"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_triceps_curl,1,252.0,11,"9,10,11,12,13",409,11,"388073,388402,388639,388876,389117,389379,389640,389928,390162,390425,390679,390945"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_triceps_curl,2,257.0,11,"9,10,11,12,13",394,11,"397307,397565,397818,398080,398337,398608,398852,399110,399367,399632,399858,400140"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_weighted_crunch,0,323.0,11,"9,10,11,12,13",402,12,"247770,248095,248413,248593,248929,249243,249538,249833,250109,250426,250717,251010,251306"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_weighted_crunch,1,301.0,11,"9,10,11,12,13",381,10,"256958,257258,257635,257976,258280,258610,258941,259243,259500,259918,260263"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,db_weighted_crunch,2,280.0,11,"9,10,11,12,13",365,10,"266896,267201,267521,267814,268153,268416,268719,268984,269312,269638,269943"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,one_arm_db_row,0,284.0,11,"9,10,11,12,13",382,10,"121979,122305,122609,122958,123239,123552,123861,124124,124493,124796,125125"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,one_arm_db_row,2,275.0,11,"9,10,11,12,13",399,11,"131997,132294,132500,132830,133118,133404,133637,133918,134183,134473,134742,135016"
2,datasets/workout/yoru0511workout/yoru0511workout_whole_session_20260511_180608.csv,yoru0511workout,one_arm_db_row,3,274.0,11,"9,10,11,12,13",392,11,"140956,141268,141536,141825,142090,142328,142597,142895,143200,143505,143759,144071"
3,datasets/workout/kevin0509workout/kevin0509workout_whole_session_20260509_173017.csv,kevin0509workout,db_bench_press,0,168.0,24,"22,23,24,25,26",918,26,"617,770,924,1080,1232,1388,1534,1707,1854,2022,2181,2327,2490,2638,2781,2919,3056,3223,3401,3567,3750,3835,4020,4166,4293,4459,4613"
