block_index,file,subject,exercise,set_id,start,end,samples,predicted_reps,prediction_seconds
120,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_squat,3:active0,509317,513573,4256,12,0.058392042001287336
121,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_triceps_curl,0:active0,420658,425210,4552,12,0.058963667001080466
122,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_triceps_curl,1:active0,433521,438120,4599,12,0.060548790999746416
123,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_triceps_curl,2:active0,445503,450279,4776,12,0.05784079099976225
124,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_weighted_crunch,0:active0,231859,235773,3914,12,0.051666166000359226
125,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_weighted_crunch,1:active0,249585,253530,3945,12,0.0514940419998311
126,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,db_weighted_crunch,2:active0,260097,264024,3927,12,0.053046125000037136
127,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,one_arm_db_row,0:active0,73026,78313,5287,13,0.06712262499968347
128,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,one_arm_db_row,1:active0,89676,95111,5435,11,0.06372374999955355
129,datasets/workout/tsenyu0515workout/tsenyu0515workout_whole_session_20260515_200226.csv,yentsen0515workout,one_arm_db_row,2:active0,103564,108933,5369,12,0.06373637500109908
130,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,0:active0,0,4434,4434,13,0.06145358299909276
131,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,1:active0,12580,17270,4690,13,0.06180083300023398
132,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,2:active0,33899,38010,4111,12,0.05751970799974515
133,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,3:active0,44668,48985,4317,12,0.0595929579994845
134,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_bench_press,4:active0,55642,59116,3474,11,0.049247791999732726
135,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_biceps_curl,0:active0,269699,273022,3323,12,0.04495662500085018
136,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_biceps_curl,1:active0,279828,283061,3233,12,0.04341545900024357
137,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_biceps_curl,2:active0,289832,292172,2340,8,0.035502958000506624
138,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_rdl,0:active0,131402,137005,5603,14,0.07183195799916575
139,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_rdl,1:active0,144891,149678,4787,12,0.06254433400135895
140,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_rdl,2:active0,156473,161046,4573,12,0.06144533400038199
141,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_shoulder_press,0:active0,212222,214230,2008,6,0.03244420900045952
142,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_shoulder_press,1:active0,234605,238634,4029,12,0.05315195799994399
143,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_shoulder_press,2:active0,245521,247857,2336,7,0.03626612500011106
144,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_shoulder_press,3:active0,254158,255899,1741,7,0.030776708001212683
145,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_squat,0:active0,351039,354640,3601,13,0.05309500000112166
146,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_squat,1:active0,360490,363423,2933,13,0.0472710409994761
147,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_squat,2:active0,370576,373499,2923,12,0.04512612500002433
148,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_triceps_curl,0:active0,301498,305146,3648,12,0.0504829579986108
149,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_triceps_curl,1:active0,311875,315393,3518,13,0.04975420799928543
150,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_triceps_curl,2:active0,323574,326637,3063,12,0.049429124999733176
151,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_triceps_curl,3:active0,333857,335615,1758,4,0.02759666699967056
152,datasets/workout/yanz0510workout/yanz0510workout_whole_session_20260510_222208.csv,yanz0510workout,db_triceps_curl,4:active0,336898,340079,3181,12,0.04749058299967146
