dataset,feature,feature_type,family,n,subjects,raw_spearman,abs_raw_spearman,subject_centered_spearman,exercise_centered_spearman,subject_exercise_centered_spearman,single_feature_mae,single_feature_spearman,delta_mae_vs_global_mean,delta_spearman_vs_global_mean,delta_mae_vs_exercise_context,delta_spearman_vs_exercise_context,rank_by_abs_raw_spearman,rank_by_univariate_mae,rank_by_mae_gain_vs_global,evidence_note
rpe_only_143_sets,mag_mag_range_mean,numeric,other_numeric,143,6,0.04113613206910577,0.04113613206910577,0.11668648228509411,-0.06030084629480195,0.04800669478343496,1.5540603104824162,-0.2144355137004645,-0.003488333439850777,0.22386636267106358,-0.1788688352909411,-0.4848284446836436,58.0,35.0,35.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,mean_concentric_sec,numeric,phase_timing,143,6,0.040431280640908056,0.040431280640908056,-0.04663046856834402,0.09936120204097601,-0.22646950489979215,1.5685846095166966,-0.42934904327368584,-0.018012632474131207,0.008952833097842228,-0.19339313432522154,-0.6997419742568649,59.0,54.0,54.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,acc_diff_gain_last2_vs_first2,numeric,acc_waveform,143,6,0.021803714108111577,0.021803714108111577,0.04128764060218772,0.06708723408694924,0.14236957767493663,1.580304382520557,-0.4440679345942154,-0.029732405477991497,-0.005766058222687331,-0.20511290732908183,-0.7144608655773945,60.0,58.0,58.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,total_eccentric_sec,numeric,phase_timing,143,6,0.01705715712006165,0.01705715712006165,0.0553816500832291,-0.025842926324441,-0.20804946106636563,1.5799356348744025,-0.40941348052109344,-0.02936365783183703,0.028888395850434623,-0.20474415968292736,-0.6798064115042726,61.0,57.0,57.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,acc_mag_range_mean,numeric,acc_waveform,143,6,-0.016650488133827145,0.016650488133827145,0.012316849393417364,-0.08756556503588417,-0.037082892498080104,1.5372259694004617,-0.204099865004166,0.013346007642103697,0.23420201136736207,-0.16203449420898663,-0.4744927959873451,62.0,18.0,18.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,mean_concentric_ratio,numeric,phase_timing,143,6,0.014539980369369095,0.014539980369369095,-0.12720973542822733,0.17764392216071656,-0.03266850743740072,1.5633380714969045,-0.42509421953389986,-0.012766094454339072,0.013207656837628201,-0.1881465963054294,-0.695487150517079,63.0,50.0,50.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,eccentric_gain_last2_vs_first2,numeric,phase_timing,143,6,-0.013645308599653183,0.013645308599653183,0.19658677801653718,-0.09431291517497338,0.19496352854240626,1.613037788373762,-0.4656213908646442,-0.06246581133119666,-0.027319514493116148,-0.237846313182287,-0.7360143218478233,64.0,68.0,68.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,eccentric_sec_slope,numeric,phase_timing,143,6,0.011328338119106848,0.011328338119106848,0.17511293150110796,-0.08297144965494521,0.08807161243439358,1.5749892678673085,-0.37731999832025853,-0.024417290824743088,0.060981878051269534,-0.19979779267583342,-0.6477129293034376,65.0,56.0,56.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,total_tut_sec,numeric,workload_or_tut,143,6,-0.003338860076654139,0.003338860076654139,-0.04523236604765765,0.016330066658185486,-0.2734222772852225,1.590842085861462,-0.43324264212634866,-0.04027010881889659,0.0050592342451794,-0.21565061066998692,-0.7036355731095278,66.0,63.0,63.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,sim_to_first_std,numeric,rep_similarity,143,6,0.002836255493738091,0.002836255493738091,-0.14198173661899813,0.15216877162034895,-0.11604790638072252,1.5613424564658394,-0.4504307401172999,-0.010770479423273915,-0.012128863745771823,-0.18615098127436425,-0.720823671100479,67.0,48.0,48.0,association exists but not stronger than exercise/progression context
rpe_only_143_sets,exercise_context,categorical_context,exercise_segmentation_context,143,6,,,,,,1.375191475191475,0.2703929309831791,0.17538050185109033,0.7086948073547072,0.0,0.0,,2.0,2.0,categorical exercise context; evidence comes from MAE gain over global mean
rpe_vo2_lag45_96_sets,cumulative_tut_exercise_sec,numeric,progression_or_cumulative_exposure,96,4,0.57603834819549,0.57603834819549,0.4850569309095201,0.656985671905651,0.769148517163231,1.1331544616437388,0.45065585596552266,0.3115793346525577,0.9073057652893682,0.23953072354144633,0.35771548783032564,1.0,1.0,1.0,single numeric feature beats exercise context
rpe_vo2_lag45_96_sets,set_index_numeric,numeric,progression_or_cumulative_exposure,96,4,0.4144457293201274,0.4144457293201274,0.4897389751737469,0.41947296859747685,0.8129585898821826,1.3482430588586378,0.16223946052051372,0.09649073743765868,0.6188893698443593,0.024442126326547298,0.06929909238531672,2.0,2.0,2.0,strong raw association and useful univariate prediction
rpe_vo2_lag45_96_sets,movement_rate_cv,numeric,variability,96,4,-0.39427263860413,0.39427263860413,-0.1176186469519127,-0.39488869731150567,0.051911748985285174,1.3555645940135257,-0.07596728460409426,0.08916920228277081,0.38068262471975134,0.017120591171659427,-0.16890765273929126,3.0,4.0,4.0,strong raw association and useful univariate prediction
rpe_vo2_lag45_96_sets,vo2_slope,numeric,delayed_vo2,96,4,0.36385793608956896,0.36385793608956896,0.2706992104386702,0.21930105474403944,0.047502283107186245,1.4567772545573108,-0.12106830075862374,-0.012043458261014273,0.33558160856522185,-0.08409206937212566,-0.21400866889382075,4.0,53.0,53.0,association exists but not stronger than exercise/progression context
rpe_vo2_lag45_96_sets,concentric_gain_last2_vs_first2,numeric,phase_timing,96,4,0.36210030252716974,0.36210030252716974,0.12403841798135377,0.32609716154482765,0.21192015684619178,1.5943050269237478,-0.3444614423890997,-0.14957123062745126,0.11218846693474588,-0.22161984173856264,-0.4374018105242967,5.0,81.0,81.0,association exists but not stronger than exercise/progression context
