folder,source_file,source_row_index,row_key,row_instance,exercise_index,exercise,set_id,kg,n_completed_reps,first_rpe,final_rpe,final_rpe_class,mean_rpe,median_rpe,min_rpe,max_rpe,rpe_slope_last_minus_first,stopped_at_rep,has_x,raw_rpe_sequence
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,8.0,12,1.0,3.0,3,1.6666666666666667,1.5,1.0,3.0,2.0,,False,1.0|1.0|1.0|1.0|1.0|1.0|2.0|2.0|2.0|2.0|3.0|3
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,13,4_1,0,4,db_weighted_crunch,1,10.5,12,2.0,5.0,5,3.25,3.0,2.0,5.0,3.0,,False,2.0|2.0|2.0|2.0|3.0|3.0|3.0|4.0|4.0|4.0|5.0|5
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,14,4_2,0,4,db_weighted_crunch,2,10.5,12,4.0,7.0,7,5.083333333333333,5.0,4.0,7.0,3.0,,False,4.0|4.0|4.0|4.0|5.0|5.0|5.0|5.0|6.0|6.0|6.0|7
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,16,5_0,0,5,db_shoulder_press,0,5.5,12,1.0,5.0,5,2.75,2.5,1.0,5.0,4.0,,False,1.0|1.0|1.0|2.0|2.0|2.0|3.0|3.0|4.0|4.0|5.0|5
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,17,5_1,0,5,db_shoulder_press,1,5.5,12,4.0,8.0,8,5.75,5.5,4.0,8.0,4.0,,False,4.0|4.0|4.0|5.0|5.0|5.0|6.0|6.0|7.0|7.0|8.0|8
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,18,5_2,0,5,db_shoulder_press,2,5.5,12,5.0,9.0,9,6.333333333333333,6.0,5.0,9.0,4.0,,False,5.0|5.0|5.0|5.0|6.0|6.0|6.0|7.0|7.0|7.0|8.0|9
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,20,6_0,0,6,db_biceps_curl,0,4.0,12,1.0,6.0,6,3.4166666666666665,3.5,1.0,6.0,5.0,,False,1.0|1.0|2.0|2.0|3.0|3.0|4.0|4.0|5.0|5.0|5.0|6
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,21,6_1,0,6,db_biceps_curl,1,4.0,11,5.0,9.0,9,6.363636363636363,6.0,5.0,9.0,4.0,11.0,True,5.0|5.0|5.0|5.0|6.0|6.0|6.0|7.0|8.0|8.0|9.0
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,22,6_2,0,6,db_biceps_curl,2,4.0,12,6.0,9.0,9,7.0,7.0,6.0,9.0,3.0,,False,6.0|6.0|6.0|6.0|6.0|7.0|7.0|7.0|8.0|8.0|8.0|9
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,24,7_0,0,7,db_triceps_curl,0,5.0,12,1.0,4.0,4,2.25,2.0,1.0,4.0,3.0,,False,1.0|1.0|1.0|1.0|2.0|2.0|2.0|3.0|3.0|3.0|4.0|4
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,25,7_1,0,7,db_triceps_curl,1,5.0,12,4.0,6.0,6,4.666666666666667,4.5,4.0,6.0,2.0,,False,4.0|4.0|4.0|4.0|4.0|4.0|5.0|5.0|5.0|5.0|6.0|6
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,26,7_2,0,7,db_triceps_curl,2,5.0,12,5.0,7.0,7,5.583333333333333,5.5,5.0,7.0,2.0,,False,5.0|5.0|5.0|5.0|5.0|5.0|6.0|6.0|6.0|6.0|6.0|7
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,28,8_1,0,8,db_squat,1,10.5,12,1.0,4.0,4,2.3333333333333335,2.0,1.0,4.0,3.0,,False,1.0|1.0|1.0|2.0|2.0|2.0|2.0|3.0|3.0|3.0|4.0|4
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,29,8_2,0,8,db_squat,2,10.5,12,4.0,6.0,6,4.75,5.0,4.0,6.0,2.0,,False,4.0|4.0|4.0|4.0|5.0|5.0|5.0|5.0|5.0|5.0|5.0|6
tsenyu0515workout,datasets/workout/tsenyu0515workout/tsenyu0515workout.xlsx,30,8_3,0,8,db_squat,3,10.5,12,4.0,5.0,5,4.166666666666667,4.0,4.0,5.0,1.0,,False,4.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|4.0|5.0|5
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,0,1_2,0,1,db_bench_press,2,8.0,12,1.0,5.0,5,3.3333333333333335,3.0,1.0,5.0,4.0,,False,1.0|1.0|1.0|3.0|3.0|3.0|3.0|5|5|5|5|5
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,1,1_3,0,1,db_bench_press,3,8.0,12,5.0,7.0,7,5.833333333333333,6.0,5.0,7.0,2.0,,False,5.0|5.0|5.0|5.0|5.0|6.0|6.0|6|6|7|7|7
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,2,1_4,0,1,db_bench_press,4,8.0,12,7.0,8.0,8,7.5,7.5,7.0,8.0,1.0,,False,7.0|7.0|7.0|7.0|7.0|7.0|8.0|8|8|8|8|8
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,4,2_0,0,2,one_arm_db_row,0,11.0,12,1.0,6.0,6,3.9166666666666665,5.0,1.0,6.0,5.0,,False,1.0|2.0|2.0|3.0|3.0|5.0|5.0|5|5|5|5|6
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,5,2_1,0,2,one_arm_db_row,1,11.0,12,5.0,7.0,7,5.5,5.0,5.0,7.0,2.0,,False,5.0|5.0|5.0|5.0|5.0|5.0|5.0|6|6|6|6|7
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,6,2_2,0,2,one_arm_db_row,2,11.0,12,7.0,9.0,9,7.583333333333333,7.5,7.0,9.0,2.0,,False,7.0|7.0|7.0|7.0|7.0|7.0|8.0|8|8|8|8|9
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,8,3_0,0,3,db_rdl,0,12.0,12,1.0,5.0,5,3.5,3.5,1.0,5.0,4.0,,False,1.0|2.0|2.0|3.0|3.0|3.0|4.0|4|5|5|5|5
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,9,3_1,0,3,db_rdl,1,12.0,12,6.0,8.0,8,6.416666666666667,6.0,6.0,8.0,2.0,,False,6.0|6.0|6.0|6.0|6.0|6.0|6.0|6|7|7|7|8
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,10,3_2,0,3,db_rdl,2,12.0,12,7.0,9.0,9,7.666666666666667,7.0,7.0,9.0,2.0,,False,7.0|7.0|7.0|7.0|7.0|7.0|7.0|8|8|9|9|9
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,12,4_0,0,4,db_weighted_crunch,0,8.0,12,1.0,6.0,6,3.9166666666666665,4.5,1.0,6.0,5.0,,False,1.0|2.0|2.0|3.0|4.0|4.0|5.0|5|5|5|5|6
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,13,4_2,0,4,db_weighted_crunch,2,8.0,12,6.0,7.0,7,6.166666666666667,6.0,6.0,7.0,1.0,,False,6.0|6.0|6.0|6.0|6.0|6.0|6.0|6|6|6|7|7
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,14,4_3,0,4,db_weighted_crunch,3,8.0,12,7.0,8.0,8,7.333333333333333,7.0,7.0,8.0,1.0,,False,7.0|7.0|7.0|7.0|7.0|7.0|7.0|7|8|8|8|8
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,16,5_1,0,5,db_shoulder_press,1,8.0,12,1.0,7.0,7,4.0,4.0,1.0,7.0,6.0,,False,1.0|2.0|2.0|3.0|3.0|4.0|4.0|5|5|6|6|7
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,17,5_2,0,5,db_shoulder_press,2,8.0,7,8.0,10.0,10,8.571428571428571,8.0,8.0,10.0,2.0,7.0,True,8.0|8.0|8.0|8.0|9.0|9.0|10.0
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,18,5_3,0,5,db_shoulder_press,3,8.0,7,8.0,10.0,10,8.571428571428571,8.0,8.0,10.0,2.0,7.0,True,8.0|8.0|8.0|8.0|9.0|9.0|10.0
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,20,6_0,0,6,db_biceps_curl,0,5.0,12,1.0,7.0,7,4.0,3.5,1.0,7.0,6.0,,False,1.0|2.0|2.0|2.0|3.0|3.0|4.0|6|6|6|6|7
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,21,6_1,0,6,db_biceps_curl,1,5.0,12,6.0,9.0,9,7.25,7.0,6.0,9.0,3.0,,False,6.0|6.0|6.0|7.0|7.0|7.0|7.0|8|8|8|8|9
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,22,6_2,0,6,db_biceps_curl,2,5.0,9,8.0,10.0,10,8.777777777777779,9.0,8.0,10.0,2.0,9.0,True,8.0|8.0|8.0|9.0|9.0|9.0|9.0|9|10
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,24,7_0,0,7,db_triceps_curl,0,5.0,12,1.0,7.0,7,4.416666666666667,5.0,1.0,7.0,6.0,,False,1.0|2.0|2.0|3.0|3.0|4.0|6.0|6|6|6|7|7
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,25,7_2,0,7,db_triceps_curl,2,5.0,12,7.0,8.0,8,7.416666666666667,7.0,7.0,8.0,1.0,,False,7.0|7.0|7.0|7.0|7.0|7.0|7.0|8|8|8|8|8
yanz0510workout,datasets/workout/yanz0510workout/yanz0510workout.xlsx,26,7_4,0,7,db_triceps_curl,4,5.0,12,8.0,9.0,9,8.583333333333334,9.0,8.0,9.0,1.0,,False,8.0|8.0|8.0|8.0|8.0|9.0|9.0|9|9|9|9|9
