timestamp,ax,ay,az
9350530,-1206,2419,15919
9350546,41,2229,14115
9350556,-745,1849,15949
9350566,-994,2372,16087
9350576,-235,2060,16449
9350586,-235,2418,16401
9350596,-968,2144,15577
9350606,-799,2130,15979
9350616,-598,2537,17329
9350626,-866,2361,17741
9350636,-315,1863,14499
9350646,-685,2087,14039
9350656,-1315,2094,13946
9350666,-1339,2434,16708
9350689,-1308,2059,13877
9350699,-840,1895,14133
9350709,-319,1760,14808
9350719,113,1798,15976
9350729,-1192,2186,14691
9350743,-357,2236,17097
9350753,-1055,2257,15381
9350763,204,2041,17498
9350776,-33,1842,15893
9350786,-1152,1956,13864
9350796,-1047,1971,14049
