feature,sensor_group,family,source,description
axis_gz__std,gyro,time,gz,std of gz
axis_gz__zero_crossing_rate,gyro,time,gz,zero_crossing_rate of gz
axis_mx__abs_mean,mag,time,mx,abs_mean of mx
axis_mx__diff_abs_mean,mag,time,mx,diff_abs_mean of mx
axis_mx__diff_rms,mag,time,mx,diff_rms of mx
axis_mx__dominant_freq_ratio,mag,time_frequency,mx,dominant_freq_ratio of mx
axis_mx__energy_mean,mag,time,mx,energy_mean of mx
axis_mx__haar_l1_energy_ratio,mag,wavelet,mx,haar_l1_energy_ratio of mx
axis_mx__haar_l2_energy_ratio,mag,wavelet,mx,haar_l2_energy_ratio of mx
axis_mx__haar_l3_energy_ratio,mag,wavelet,mx,haar_l3_energy_ratio of mx
axis_mx__haar_l4_energy_ratio,mag,wavelet,mx,haar_l4_energy_ratio of mx
axis_mx__high_band_ratio,mag,time_frequency,mx,high_band_ratio of mx
axis_mx__iqr,mag,time,mx,iqr of mx
axis_mx__kurtosis,mag,time,mx,kurtosis of mx
axis_mx__low_band_ratio,mag,time_frequency,mx,low_band_ratio of mx
axis_mx__max,mag,time,mx,max of mx
axis_mx__mean,mag,time,mx,mean of mx
axis_mx__median,mag,time,mx,median of mx
axis_mx__mid_band_ratio,mag,time_frequency,mx,mid_band_ratio of mx
axis_mx__min,mag,time,mx,min of mx
axis_mx__range,mag,time,mx,range of mx
axis_mx__rms,mag,time,mx,rms of mx
axis_mx__skewness,mag,time,mx,skewness of mx
axis_mx__slope,mag,time,mx,slope of mx
axis_mx__spectral_entropy,mag,time_frequency,mx,spectral_entropy of mx
axis_mx__std,mag,time,mx,std of mx
axis_mx__zero_crossing_rate,mag,time,mx,zero_crossing_rate of mx
axis_my__abs_mean,mag,time,my,abs_mean of my
axis_my__diff_abs_mean,mag,time,my,diff_abs_mean of my
axis_my__diff_rms,mag,time,my,diff_rms of my
axis_my__dominant_freq_ratio,mag,time_frequency,my,dominant_freq_ratio of my
axis_my__energy_mean,mag,time,my,energy_mean of my
axis_my__haar_l1_energy_ratio,mag,wavelet,my,haar_l1_energy_ratio of my
axis_my__haar_l2_energy_ratio,mag,wavelet,my,haar_l2_energy_ratio of my
axis_my__haar_l3_energy_ratio,mag,wavelet,my,haar_l3_energy_ratio of my
axis_my__haar_l4_energy_ratio,mag,wavelet,my,haar_l4_energy_ratio of my
axis_my__high_band_ratio,mag,time_frequency,my,high_band_ratio of my
axis_my__iqr,mag,time,my,iqr of my
axis_my__kurtosis,mag,time,my,kurtosis of my
axis_my__low_band_ratio,mag,time_frequency,my,low_band_ratio of my
axis_my__max,mag,time,my,max of my
axis_my__mean,mag,time,my,mean of my
axis_my__median,mag,time,my,median of my
axis_my__mid_band_ratio,mag,time_frequency,my,mid_band_ratio of my
axis_my__min,mag,time,my,min of my
axis_my__range,mag,time,my,range of my
axis_my__rms,mag,time,my,rms of my
axis_my__skewness,mag,time,my,skewness of my
axis_my__slope,mag,time,my,slope of my
axis_my__spectral_entropy,mag,time_frequency,my,spectral_entropy of my
axis_my__std,mag,time,my,std of my
axis_my__zero_crossing_rate,mag,time,my,zero_crossing_rate of my
axis_mz__abs_mean,mag,time,mz,abs_mean of mz
axis_mz__diff_abs_mean,mag,time,mz,diff_abs_mean of mz
axis_mz__diff_rms,mag,time,mz,diff_rms of mz
axis_mz__dominant_freq_ratio,mag,time_frequency,mz,dominant_freq_ratio of mz
axis_mz__energy_mean,mag,time,mz,energy_mean of mz
axis_mz__haar_l1_energy_ratio,mag,wavelet,mz,haar_l1_energy_ratio of mz
axis_mz__haar_l2_energy_ratio,mag,wavelet,mz,haar_l2_energy_ratio of mz
axis_mz__haar_l3_energy_ratio,mag,wavelet,mz,haar_l3_energy_ratio of mz
axis_mz__haar_l4_energy_ratio,mag,wavelet,mz,haar_l4_energy_ratio of mz
axis_mz__high_band_ratio,mag,time_frequency,mz,high_band_ratio of mz
axis_mz__iqr,mag,time,mz,iqr of mz
axis_mz__kurtosis,mag,time,mz,kurtosis of mz
