exercise,feature,cohen_d,abs_cohen_d,stable_subject_ratio,stable_effect_score,mean_subject_diff,sensor_group,family,source,description
db_biceps_curl,all9_norm__zero_crossing_rate,-2.6053,2.6053,1.0,2.6053,-0.1033,all9,time,all9_norm,zero_crossing_rate of all9_norm
db_biceps_curl,all9_norm__rms,2.5547,2.5547,1.0,2.5547,49.9692,all9,time,all9_norm,rms of all9_norm
db_biceps_curl,axis_mx__range,2.5514,2.5514,1.0,2.5514,31.6912,mag,time,mx,range of mx
db_biceps_curl,axis_gy__max,2.5495,2.5495,1.0,2.5495,72.5257,gyro,time,gy,max of gy
db_biceps_curl,axis_mz__range,2.5485,2.5485,1.0,2.5485,28.8279,mag,time,mz,range of mz
db_biceps_curl,axis_gy__min,-2.5165,2.5165,1.0,2.5165,-72.0131,gyro,time,gy,min of gy
db_biceps_curl,axis_az__min,-2.5119,2.5119,1.0,2.5119,-0.7584,acc,time,az,min of az
db_biceps_curl,gyro_norm__iqr,2.4886,2.4886,1.0,2.4886,45.5637,gyro,time,gyro_norm,iqr of gyro_norm
db_biceps_curl,axis_gz__spectral_entropy,-2.4607,2.4607,1.0,2.4607,-0.2793,gyro,time_frequency,gz,spectral_entropy of gz
db_biceps_curl,axis_mz__std,2.4556,2.4556,1.0,2.4556,9.7879,mag,time,mz,std of mz
db_biceps_curl,corr__ax__mz,2.4434,2.4434,1.0,2.4434,0.8766,acc_mag,axis_correlation,"ax,mz",Correlation between ax and mz
db_biceps_curl,all9_norm__mean,2.442,2.442,1.0,2.442,45.5436,all9,time,all9_norm,mean of all9_norm
db_biceps_curl,all9_norm__abs_mean,2.442,2.442,1.0,2.442,45.5436,all9,time,all9_norm,abs_mean of all9_norm
db_biceps_curl,all9_norm__median,2.4304,2.4304,1.0,2.4304,46.9362,all9,time,all9_norm,median of all9_norm
