recv_time,timestamp,ax,ay,az,gx,gy,gz,mx,my,mz
2026-03-11T17:23:08.303873,1681329,-554.0,956.0,15818.0,-128.0,-15.0,-116.0,3876.0,5255.0,-3046.0
2026-03-11T17:23:08.303917,1681339,-538.0,1231.0,17330.0,-128.0,-15.0,-116.0,3900.0,5255.0,-3046.0
2026-03-11T17:23:08.303942,1681349,-45.0,1155.0,18096.0,-112.0,-51.0,-206.0,3900.0,5255.0,-3076.0
2026-03-11T17:23:08.303963,1681359,-606.0,1088.0,16591.0,-123.0,-54.0,-189.0,3889.0,5256.0,-3076.0
2026-03-11T17:23:08.303984,1681369,22.0,1042.0,17838.0,-179.0,-74.0,-122.0,3889.0,5256.0,-3112.0
2026-03-11T17:23:08.304005,1681379,-538.0,950.0,15881.0,-184.0,-84.0,-189.0,3891.0,5253.0,-3112.0
2026-03-11T17:23:08.304025,1681389,-1008.0,868.0,14323.0,-146.0,-65.0,-128.0,3891.0,5253.0,-3121.0
2026-03-11T17:23:08.304896,1681399,-788.0,983.0,15428.0,-178.0,0.0,-219.0,3901.0,5253.0,-3121.0
2026-03-11T17:23:08.323656,1681409,-933.0,925.0,14736.0,-150.0,-18.0,-110.0,3901.0,5253.0,-3022.0
2026-03-11T17:23:08.330893,1681419,-279.0,969.0,16685.0,-139.0,-38.0,-236.0,3884.0,5256.0,-3022.0
2026-03-11T17:23:08.337973,1681429,-469.0,1263.0,17727.0,-139.0,-38.0,-236.0,3884.0,5256.0,-3037.0
2026-03-11T17:23:08.349683,1681439,-947.0,1181.0,16231.0,-115.0,-52.0,-173.0,3887.0,5245.0,-3037.0
2026-03-11T17:23:08.356090,1681449,-393.0,796.0,15433.0,-126.0,-47.0,-201.0,3887.0,5245.0,-3103.0
2026-03-11T17:23:08.373253,1681459,-433.0,1014.0,16622.0,-133.0,-4.0,-195.0,3878.0,5260.0,-3103.0
2026-03-11T17:23:08.386086,1681469,-198.0,1038.0,17287.0,-126.0,-62.0,-123.0,3878.0,5260.0,-3124.0
2026-03-11T17:23:08.402772,1681479,-1060.0,1353.0,16544.0,-159.0,-29.0,-184.0,3886.0,5259.0,-3124.0
